ID,OBJECT,OBJECT-TYPE,RA,DEC,DATE-OBS,EXPTIME,EXPTIME_initial,TMS-LST,TME-LST,TMS-LT,TME-LT,TELESCOPE,Решетка,Щель,ЭОП,Коллиматор,Масштаб камеры,Катод,Камера,Позиционный угол,Сечение,Спектрограф,OBSERVER,"TEMPERAT, C",SKYCOND,OBSNOTE,DETNAME,EMULSION,METHOD,FOCUS,NOTES,SCANNOTE,Длины волн,FILTER,PLATNOTE,RA-sim,DEC-sim,EQ-ORIG-sim
XI-5-1,MRK1;NGC449;Sy2,active_galactic_nuclei,01 13 19.57,32 49 32.35,28-29.12.1970,10m,10m,4h05m,4h15m,,,AZT-8,большая; 600; 2; угол; размер дисперсии,"0,3","зеленый;1:2,15","1,4м;угол",,,красная,,,,Denissyuk E.K.,,,,,,,150,"Очень трудно установка из-за соседних ярких звезд.(ЭОП-зеленый-М1:2,15-решетка600ист/мм -II-порядок-щель0,3мм-Каллимотор 1.4м-камера красная-f=150-калибр.ступенч.ослобитель3мм-)",,,H alpha,линия спектра передержана,01 16 07.21,33 05 21.64,2000
XI-5-2,MRK2,galaxies,01 51 56.32,36 40 22.79,28-29.12.1970,10m,10m,4h44m,4h54m,  ,,AZT-8,большая; 600; 2; угол; размер дисперсии,"0,3","зеленый;1:2,15","1,4м;угол",,,красная,,,,Denissyuk E.K.,,,,,,,150,,,,H alpha,,01 54 53.80,36 55 04.64,2000
XI-5,Field MRK2,galaxies; field-of-view,01 51 56.32,36 40 22.79,28-29.12.1970,3s,3s,5h32m,5h52m,,,AZT-8,большая; 600; 2; угол; размер дисперсии,"0,3","зеленый;1:2,15","1,4м;угол",,,красная,,,,Denissyuk E.K.,,,,,,,150,,,,H alpha,,01 54 53.80,36 55 04.64,2000
XI-5-13,MRK3,active_galactic_nuclei,06 09 48.51,71 03 10.81,28-29.12.1970,5m,5m,8h41m,8h44m,,,AZT-8,большая; 600; 2; угол; размер дисперсии,"0,3","зеленый;1:2,15","1,4м;угол",,,красная,,,,Denissyuk E.K.,,,,,,,150,,,,H alpha,,06 15 36.28,71 02 14.83,2000
XI-5-14,MRK3,active_galactic_nuclei,06 09 48.51,71 03 10.81,28-29.12.1970,6m,6m,8h45m,8h51m,,,AZT-8,большая; 600; 2; угол; размер дисперсии,"0,3","зеленый;1:2,15","1,4м;угол",,,красная,,,,Denissyuk E.K.,,,,,,,150,,,,H alpha,,06 15 36.28,71 02 14.83,2000
XI-5,Field MRK3,field-of-view; active_galactic_nuclei,06 09 48.51,71 03 10.81,28-29.12.1970,3s,3s,,,,,AZT-8,большая; 600; 2; угол; размер дисперсии,"0,3","зеленый;1:2,15","1,4м;угол",,,красная,,,,Denissyuk E.K.,,,,,,,150,"Небо у А4,3сек",,,H alpha,,06 15 36.28,71 02 14.83,2000
XI-5-16,MRK7,galaxies,07 22 18.85,72 40 27.39,28-29.12.1970,10m,10m,9h25m,9h35m,,,AZT-8,большая; 600; 2; угол; размер дисперсии,"0,3","зеленый;1:2,15","1,4м;угол",,,красная,,,,Denissyuk E.K.,,,,,,,150,,,,H alpha,,07 28 11.45,72 34 23.18,2000
XI-5,Field MRK7,galaxies; field-of-view,07 22 18.85,72 40 27.39,28-29.12.1970,3s,3s,,,,,AZT-8,большая; 600; 2; угол; размер дисперсии,"0,3","зеленый;1:2,15","1,4м;угол",,,красная,,,,Denissyuk E.K.,,,,,,,150,,,,H alpha,,07 28 11.45,72 34 23.18,2000
XI-5-Cal,Calibration,calibration,,,18-19.10.1971,15s,15s,,,,,AZT-8,,,,расстояние;угол,,,,,,,Denissyuk E.K.,,,,,,,,,,,,,,,2000
XI-5-Cal,Calibration,calibration,,,18-19.10.1971,30s,30s,,,,,,,,,,,,,,,,Denissyuk E.K.,,,,,,,,,"плохо отсканировано, размыто",,,,,,
