Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC,DATE-OBS,EXPTIME,TIME-OBS (tзв-s),TIME-END,SIZE,TELESCOPE,OBSERVER,COMMENTS
20-42,Orion,05 32 49.8,-05 25 21,10-11.10.1950,55m,03h31m,04h26m,9.7x9.7,50cm менисковый телескоп Максутова,,"t=15o, U=-1m43s"
20-2799,Orion,05h33m,-05.00,03-04.01.1965,14m,,,9.7x9,50cm менисковый телескоп Максутова,,
20-227,IC4592,16 13 00.0,-19 18 00,30-31.07.1951,,16h23m,,9.7x9,50cm менисковый телескоп Максутова,,
20-2583,rho-Oph,16 22 34.95,-23 20 01.34,11-12.08.1964,15m,18h17m,18h32m,9.8x9.7,50cm менисковый телескоп Максутова,,
20-1605,WD-star,07h22m,-23.27,07-08.03.1956,20m,06h28m,06h48m,9.9x9,50cm менисковый телескоп Максутова,Gainulina,
20-1983,BD103698,18h28m,01.21,08-09.06.1958,35m,17h07m10s,17h42m10s,9.8x9.8,50cm менисковый телескоп Максутова,,
20-1984,BD103698,18h28m,01.21,09-10.06.1958,30m,16h47m,,8.9x9.9,50cm менисковый телескоп Максутова,,
20-2705,BD063379 ,17h16m,06.08,09-10.10.1964,14m,20h41m30s,20h55m30s,9x9.8,50cm менисковый телескоп Максутова,,
20-2560,ABC90vul2,19h25m,20.50,06-07.08.1964,15m,19h45m05s,20h00m05s,8.8x9.8,50cm менисковый телескоп Максутова,,"t=19,F(2)48"
20-2555,IC5076,20h55m,47.40,03-04.08.1964,14m,17h59m,18h13m,9.5x9.7,50cm менисковый телескоп Максутова,,
20-2561,Star,20h23m,42.10,06-07.08.1964,15m,20h27m10s,20h42m10s,8.8x9.8,50cm менисковый телескоп Максутова,,
20-2512,Star,04h11m,10.00,07-08.02.1964,15m,04h19m30s,,8.8x9.8,50cm менисковый телескоп Максутова,,
20-2772,Star,04h11m,10.05,01-02.01.1965,14m,03h33m15s,03h47m15s,9x9.9,50cm менисковый телескоп Максутова,,
20-2628,Star,20h03m,35.28,12-13.09.1964,15m,21h16m,21h31m,8.8x9.8,50cm менисковый телескоп Максутова,,
20-2636,Nedula,21h16m,58.22,14-15.09.1964,15m,23h20m20s,23h35m20s,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2634,Nedula,21h18m,64.40,14-15.09.1964,15m,22h41m50s,22h56m35s,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2637,BD671332,21h37m,68.00,14-15.09.1964,15m,23h44m35s,23h59m35m,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2638,Ced201,22h11m,69.45,14-15.09.1964,15m,00h05m,00h20m,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2644,Nebula,19h25m,20.50,26-27.09.1964,14m,20h43m,20h57m,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2645,Nebula,19h24m,23.12,26-27.09.1964,14m,21h05m30s,21h19m30s,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2650,Nebula,22h08m,73.00,02-03.10.1964,15m,23h37m,23h52m,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2651,NGC7023,21 01 36.9,68 09 48,02-03.10.1964,15m,00h00m,00h15m,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2653,NGC7133,21h43m,65.54,02-03.10.1964,15m,00h45m,01h00m,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2705-d,GaiaEDR34276355622162252544,18 27 53.04,01 11 49.5,09-10.10.1964,14m,21h22m07s,21h36m07s,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2741,HDF2018111.12.514,00h10m,64.19,03-04.12.1964,12m,01h38m,01h50m,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2742,Nebula,00h07m,58.30,03-04.12.1964,12m,02h00m,02h12m,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2760,St-38,02h24m,72.50,11-12.12.1964,12m,04h37m,04h49m,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2771,Nebula,04h11m,10.05,01-02.01.1965,14m,03h08m,03h22m,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2761,Ced13,03h23m,30.40,11-12.12.1964,12m,05h01m,05h13m,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2763,St-42,04h17m,27.10,11-12.12.1964,12m,05h33m12s,05h45m12s,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2765,NGC1579,04h26m,35.16,11-12.12.1964,12m,06h08m,06h20m,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2766,IC348,03h41.5m,32.00,11-12.12.1964,12m,06h27m,06h39m,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2773,Nebula,04h50m,29.20,01-02.01.1965,12m,04h01m,04m13m,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2790,Ced61,06h01m,31.00,04-05.01.1965,14m,02h07m,02h21m,8.8x9.9,50cm менисковый телескоп Максутова,,
20-2794,Nebula,05h37m,04.00,04-05.01.1965,14m,03h43m,03h57m,8.8x9.9,50cm менисковый телескоп Максутова,,
