Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC,DATE-OBS,EXPTIME,TIME-OBS (tзв-s),TIME-END,SIZE,TELESCOPE,OBSERVER,COMMENTS
18-237,M8,18h19,-18.29,01-02.07.1951,8m,18h24,18h26,,50cm менисковый телескоп Максутова,Tropova T.P.,
18-781,NGC6335-6360,17h20,-30.00,16-17.10.1953,1h,17h40,,,50cm менисковый телескоп Максутова,Рожковский Д.А.,
18-1409,IC1284,18h15,-19.41,15-16.09.1955,1h,20h00,,,50cm менисковый телескоп Максутова,Рожковский Д.А.,
18-2587,Star,18h14,-19.49,11-12.08.1964,15m,19h26,,,50cm менисковый телескоп Максутова,Glushkov Yu.I.,Astrospectr.
18-1414,Nebula,19h58,35.08,20-21.09.1955,1h,21h56,,,50cm менисковый телескоп Максутова,Рожковский Д.А.,"(В журнале дата 21-22.09.1955) кр.ф III, Astro uns"
18-1432,Nebula,19h58,35.08,09-10.10.1955,40m,0h37,,,50cm менисковый телескоп Максутова,Рожковский Д.А.,
18-1418,IC1851,2h48,58.00,22-23.09.1955,1h,22h32,,,50cm менисковый телескоп Максутова,,
18-1430,Star,19h59,24.30,08-09.10.1955,40m,22h19,,,50cm менисковый телескоп Максутова,,
18-1445,Nebula,4h10,27.50,15-16.10.1955,20m,0h44,,,50cm менисковый телескоп Максутова,,
18-1447,Nebula,21h28,35.18,15-16.10.1955,20m,1h39,,,50cm менисковый телескоп Максутова,,
18-1431,Nebula,21h16,58.22,09-10.10.1955,40m,23h41,,,50cm менисковый телескоп Максутова,,
18-1446,Nebula,21h03,35.00,15-16.10.1955,20m,1h11,,,50cm менисковый телескоп Максутова,,
18-1448,Nebula(SA41),21h44,44.18,15-16.10.1955,20m,2h07,,,50cm менисковый телескоп Максутова,,
18-1461,IC1400,21h42,52.43,19-20.10.1955,20m,23h46,,,50cm менисковый телескоп Максутова,,
18-1404,NPC7129,21h45,60.00,10-11.09.1955,50m,19h59,,,50cm менисковый телескоп Максутова,,
18-1462,IC5366,23h55,52.30,19-20.10.1955,20m,0h15,,,50cm менисковый телескоп Максутова,,
18-1407,NGC7129,21h45,66.00,14-15.09.1955,1h,22h05,,,50cm менисковый телескоп Максутова,,
18-1939,Nebula,21h45,66.00,02-03.10.1957,1h30,2h02,,,50cm менисковый телескоп Максутова,,
