ID,OBJECT,OBJECT-TYPE,RA,DEC,EQ-ORIG,DATE-OBS,EXPTIME,TMS-LST,TME-LST,TMS-LT,TME-LT,SIZE,TELESCOPE,OBSERVER,"TEMPERAT, C",SKYCOND,OBSNOTE,DETNAME,EMULSION,METHOD,FOCUS,NOTES,SCANNOTE,FILTER,PLATNOTE
1-134,Arend-Rigaux,comet,7h53m,32.15,,2-3.03.1951,8.7m; 9m,12h16.3; 12h54m,12h25.0; 13h03,12h16m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,-7," прозрачность плохая,  туман",U=-5m.4,photographic plate,Astro platten,метод Меткофа,.56,,,,
1-136,Arend-Rigaux,comet,7h53m,31.48,,2-3.03.1951,11m,13h48m,13h59m,14h48m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,-7," прозрачность плохая,  туман",U=-5m.4,photographic plate,Astro platten,метод Меткофа, .56,,,,
1-140,Arend-Rigaux,comet,7h58m,32.15,,4-5.03.1951,16m,9h52m,10h08m,9h52m,,9.7*9.7 ,50cm менисковый телескоп Максутова,"Рожковский Д.А., Торопова Т.П.",-8,,U=-5m.4,photographic plate,Astro platten,, .55,,,,
1-156,Arend-Rigaux,comet,8h26m,33.48,,24-25.03.1951,5m;5m;5m,8h32; 8h47; 8h57,8h37; 8h52; 9h02,8h32m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,-2,,U=-5m.27s,photographic plate,Astro uns,, .50,,,,
1-171,Arend-Rigaux,comet,8h40.8m,32.57,,30-31.03.1951,8m; 8m,9h42; 10h24,10h00; 10h42,8h42m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,,,U=-5m.25s,photographic plate,Astro uns,, .625,,,,
1-167,Arend-Rigaux,comet,8h37m,32.48,,28-29.03.1951,7m; 7m,11h16m; 11h24.5,11h23m; 11h31.5,11h 16m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,,,U=-5m.26s,photographic plate,Astro uns,, .59,,,,
1-173,Arend-Rigaux,comet,8h40m,32.57,,31.03-1.04.1951,18m; 18m,9h15m; 9h53m,9h33m; 10h11m,9h15m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,1.5,,U=,,,, .58,,,,
1-179,Arend-Rigaux,comet,8h49m,32.42,,5-6.04.1951,5.4m; 5.4m,9h38.6;10h03.6,9h44.0; 10h09.0,9h38 m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,5,,U=-5m.25s,photographic plate,Panchrom,,,,,,
1-180,Arend-Rigaux,comet,8h49m,32.42,,5-6.04.1951,5.4m; 5.4m,10h50.6;11h15.6,10h56.0; 11h21.0,10h50m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,5,,U=-5m.25s,photographic plate,Panchrom,,,,,,
1-186,Arend-Rigaux,comet,9h27m,29.0,,25-26.04.1951,30m,11h44m,12h14m,11h44m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,,,U=+12s,photographic plate,Astro uns,, .58,,,,
1-188,Arend-Rigaux,comet,9h30m,30.48,,26-27.04.1951,28m,11h24m,11h52m,11h24m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,11,,U=+13s,photographic plate,Astro uns,, .58,,,,
1-189,Arend-Rigaux,comet,9h36m,30.15,,26-27.04.1951,15m,13h28m,13h43m,13h28m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,11,,U=+13s,photographic plate,Astro uns,, .58,,,,недопроявлена
1-133,Arend-Rigo-Dubyago,comet,7h48m,30.42,,28.02-01.03.1951,9m; 9m,9h33m; 10h03m,9h42m; 10h12m,9h33m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,-10,,U=-5m.24s,photographic plate,Astro platten,метод Меткофа, .55,,,,
1-143,Комета Аренда (Arenda),comet,8h06m,32.21,,10-11.03.1951,7m; 7m,9h28m; 10h07m,9h35m; 10h14m,9h28m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,-3, легкий туман,U=-5m.25s; комета не найдена,photographic plate,Astro uns,, .59,,,,
