Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC,DATE-OBS,EXPTIME,TIME-OBS (tзв-s),TIME-END,SIZE,TELESCOPE,OBSERVER,COMMENTS,,,,,,,,,,,,,,
5S-2.1,Star,23h00,-30.00,21-22.09.1987,10m,0h04,0h14,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
5S-3.1,Star,23h00,-24.00,21-22.09.1987,8m,0h16,0h24,9x12,Большой Шмидт,Солодовников В.В.,0. мелкие царапины,,,,,,,,,,,,,,
5S-2.2,Star,23h00,-20.00,21-22.09.1987,10m,0h30,0h40,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
5S-3.2,Star,23h00,-15.00,21-22.09.1987,10m,0h42,0h52,9x12,Большой Шмидт,Солодовников В.В.,0. пятна на пластинке,,,,,,,,,,,,,,
5S-2.3,Star,23h00,-10.00,21-22.09.1987,10.5m,0h54,1h4.5,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
5S-3.3,Star,23h00,-5.00,21-22.09.1987,10m,1h06,1h16,9x12,Большой Шмидт,Солодовников В.В.,0. пятна на пластинке,,,,,,,,,,,,,,
5S-2.4,Star,23h00,0.00,21-22.09.1987,10m,1h18,1h28,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
5S-3.4,Star,23h00,5.00,21-22.09.1987,10m,1h31,1h41,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
5S-2.5,Star,23h00,10.00,21-22.09.1987,10m,1h43,1h53,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
5S-3.5,Star,23h00,15.00,21-22.09.1987,10m,1h55,2h05,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
5S-2.6,Star,23h00,20.00,21-22.09.1987,11.5m,2h07,2h18.5,9x12,Большой Шмидт,Солодовников В.В.,0. царапины,,,,,,,,,,,,,,
5S-3.6,Star,23h00,25.00,21-22.09.1987,10m,2h16,2h26,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
