Идентификационный номер (номер каробки-номер пластины),OBJECT,RA,DEC,DATE-OBS,EXPTIME,TIME-OBS (tзв-s),TIME-END,SIZE,TELESCOPE,OBSERVER,COMMENTS
1S-2.1,HD104209,12h00m,-18.00,23-24.04.1987,10m,0h37m,,9*12,Большой Шмидт,Солодовников В.В.,
1S-3.1,STAR,12h00m,-25.00,23-24.04.1987,10m,0h49m,,9*12,Большой Шмидт,Солодовников В.В.,
1S-2.2,STAR,12h00m,-20.00,23-24.04.1987,10m,0h01m,,9*12,Большой Шмидт,Солодовников В.В.,
1S-3.2,STAR,12h00m,-15.00,23-24.04.1987,13.5m,1h14m,,11.9*9,Большой Шмидт,Солодовников В.В.,
1S-2.3,STAR,12h00m,-10.00,23-24.04.1987,10m,1h29m,,11.9*9,Большой Шмидт,Солодовников В.В.,
1S-3.3,STAR,12h00m,-5.00,23-24.04.1987,10m,1h40m,,11.9*9,Большой Шмидт,Солодовников В.В.,
1S-2.4,STAR,12h00m,0.00,23-24.04.1987,11.5m,1h52m,,11.9*9,Большой Шмидт,Солодовников В.В.,
1S-3.4,STAR,12h00m,5.00,23-24.04.1987,10m,2h05m,,11.9*9,Большой Шмидт,Солодовников В.В.,
1S-2.5,STAR,12h00m,10.00,23-24.04.1987,10m,2h17m,,11.9*9,Большой Шмидт,Солодовников В.В.,
1S-3.5,STAR,12h00m,15.00,23-24.04.1987,10m,2h29m,,11.9*9,Большой Шмидт,Солодовников В.В.,
1S-2.6,STAR,12h00m,20.00,23-24.04.1987,10m,2h43m,,11.9*9,Большой Шмидт,Солодовников В.В.,
1S-3.6,STAR,12h00m,25.00,23-24.04.1987,10m,2h55m,,11.9*9,Большой Шмидт,Солодовников В.В.,
1S-2.7,STAR,12h00m,30.00,23-24.04.1987,10m,3h07m,,11.9*9,Большой Шмидт,Солодовников В.В.,
1S-3.7,STAR,12h00m,35.00,23-24.04.1987,10m,3h19m,,11.9*9,Большой Шмидт,Солодовников В.В.,
1S-2.8,STAR,12h00m,40.00,23-24.04.1987,10m,3h30m,,11.9*9,Большой Шмидт,Солодовников В.В.,
1S-3.8,STAR,12h00m,45.00,23-24.04.1987,10m,3h42m,,11.9*9,Большой Шмидт,Солодовников В.В.,
1S-2.9,STAR,12h00m,50.00,23-24.04.1987,10m,3h54m,,11.9*9,Большой Шмидт,Солодовников В.В.,
1S-3.9,STAR,12h30m,55.00,23-24.04.1987,10m,4h06m,,11.9*9,Большой Шмидт,Солодовников В.В.,V
1S-2.10,STAR,12h30m,45.00,23-24.04.1987,10m,4h18m,,11.9*9,Большой Шмидт,Солодовников В.В.,
1S-3.10,STAR,12h30m,40.00,23-24.04.1987,10m,4h30m,,11.9*9,Большой Шмидт,Солодовников В.В.,
1S-2.11,STAR,12h30m,35.00,23-24.04.1987,10.5m,4h42m,,11.9*9,Большой Шмидт,Солодовников В.В.,
1S-3.11,STAR,12h30m,30.00,23-24.04.1987,10m,4h35m,,11.9*9,Большой Шмидт,Солодовников В.В.,
1S-2.12,STAR,12h30m,25.00,23-24.04.1987,10m,5h07m,,11.9*9,Большой Шмидт,Солодовников В.В.,
1S-3.12,STAR,12h30m,-20.00,23-24.04.1987,10m,5h20m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-2.1,STAR,18h00m,-25.00,26-27.09.1987,10m,21h02m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-3.1,STAR(ATO J270.7240-19.9914),18h00m,-20.00,26-27.09.1987,13m,21h15m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-2.2,STAR,18h00m,-15.00,26-27.09.1987,,,,11.9*9,Большой Шмидт,Солодовников В.В.,vne fokusa
2S-3.2,STAR,18h00m,-10.00,26-27.09.1987,10m,21h41m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-2.3,STAR (LDN 444),18h00m,-5.00,26-27.09.1987,10m,21h32m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-3.3,STAR (TYC 430-3400-1),18h00m,0.00,26-27.09.1987,10m,22h03m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-2.4,STAR,18h00m,5.00,26-27.09.1987,10m,22h15m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-3.4,STAR(2MASX J18021732+1000332),18h00m,10.00,26-27.09.1987,10m,22h28m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-2.5,STAR(2MASX J18021757+0101233),18h00m,15.00,26-27.09.1987,10m,22h38m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-3.5,STAR(Gaia EDR3 4575702095227181696),18h00m,20.00,26-27.09.1987,10m,22h30m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-2.6,STAR(HD 335520),18h00m,25.00,26-27.09.1987,10m,23h00m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-3.6,STAR,18h00m,30.00,26-27.09.1987,10m,23h12m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-2.7,STAR,18h00m,35.00,26-27.09.1987,10m,23h23m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-3.7,STAR,18h00m,40.00,26-27.09.1987,10m,23h34m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-2.8,STAR,18h00m,45.00,26-27.09.1987,10m,23h45m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-3.8,STAR,18h00m,-50.00,26-27.09.1987,10m,23h57m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-2.9,STAR,22h09m,-30.00,26-27.09.1987,13m,00h14m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-3.9,STAR,22h00m,-25.00,26-27.09.1987,10m,00h27m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-2.10,STAR,22h00m,-20.00,26-27.09.1987,,00h38m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-3.10,STAR,22h30m,-15.00,26-27.09.1987,,00h50m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-2.11,STAR([LVO2003] J220240.4-094532 ),22h00m,-10.00,26-27.09.1987,10m,00h57m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-3.11,STAR,22h00m,-05.00,26-27.09.1987,12m,01h00m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-2.12,STAR,22h00m,00.00,26-27.09.1987,10m,01h20m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-3.12,STAR,22h00m,05.00,26-27.09.1987,10m,01h31m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-2.13,STAR,22h00m,10.00,26-27.09.1987,10m,01h42m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-3.13,STAR,22h00m,15.00,26-27.09.1987,10m,01h53m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-2.14,STAR,22h00m,20.00,26-27.09.1987,10m,02h04m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-3.14,STAR,22h00m,25.00,26-27.09.1987,10m,02h16m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-2.15,STAR,22h00m,30.00,26-27.09.1987,10m,02h27m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-3.15,STAR,22h00m,35.00,26-27.09.1987,10m,02h38m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-2.16,STAR,22h00m,40.00,26-27.09.1987,10m,02h50m,,11.9*9,Большой Шмидт,Солодовников В.В.,
2S-3.16,STAR,22h00m,45.00,26-27.09.1987,10m,03h00m,,11.9*9,Большой Шмидт,Солодовников В.В.,
3S-2.1,STAR,18h00m,-25.00,27-28.09.1987,10m,21h02m,,11.9*9,Большой Шмидт,Солодовников В.В.,
